Показатель;Значение;
Сечение;Двутавр;
Наименование;"Двутавр №20 (прогоны)";
Сортамент;"20 ГОСТ 8239-89";
"Размеры, мм";"b=100,00  h=200,00  tw=5,20  tf=8,40";
"Масса одной конструкции, кг";4628,36;
"Общая масса, кг";18513,44;
"Обогреваемый периметр  по контуру, мм";789,60;
"Обогреваемый периметр  для коробчатой облицовки, мм";600,00;
"Площадь поперечного сечения, мм";2680,00;
"Приведенная толщина по контуру tred, мм";3,39;
"Приведенная толщина для коробчатой облицовки tred box, мм";4,47;
"A/V, м ˉ¹";294,63;
"A/V box, м ˉ¹";223,88;
"Длина конструкции, м";220,00;
"Количество, шт";4,00;
"Площадь обработки одной конструкции по контуру, м²";173,712;
"Площадь обработки всех конструкций по контуру, м²";694,848;
"Площадь обработки одной конструкции при коробчатой облицовки, м²";132,000;
"Площадь обработки всех конструкций при коробчатой облицовки, м²";528,000;
"Моменты инерции сечения Ix,Iy, Imin см 4";"1840,000; 115,000; 115,000";
"Упругие моменты сопротивления сечения Wx;Wy; Wmin, см³";"184,000; 23,100; 23,100";
"Пластические моменты сопротивления сечения Wplx;Wply; Wplmin, см³";"199,056; 33,957; 33,957";
"Статические моменты полусечения Sx,Sy см³";"104,388; 19,891";
Сталь;С345;
"Плотность стали ρ, кг/м³";7850,00;
"Нормативное сопротивление стали Rуп, МПа";345,00;
"Расчетное сопротивление стали Ry, МПа";13,80;
"Модуль упругости стали, МПа";206000,00;
"Зависимость свойств стали от температуры";"σ 0.2%  и  E по данным СССР";
"Вид нагружения конструкции";"Назначенная критическая температура";
"Температурный режим пожара";"Стандартный температурный режим";
"Критическая температура θcr,°С";800,00;
"Собственный предел огнестойкости, мин";24,28;
"Требуемый предел огнестойкости конструкции, мин  ";15;
"Толщина огнезащитного материала, мм";0,00;
"Потери, %";5,00;
"Расход на м², кг/м²";0,000;
"Расход на метр пог., кг/м п";0,000;
"Расход на тонну металлоконструкции, кг/т";0,00;
"Количество огнезащитного материала на одну конструкцию, кг";0,000;
